Madina Estate,Upper Portion,PKR1.65 Crore,"Jamshed Town, Karachi, Sindh",122 Sq. Yd.,For Sale,Karachi,+92 3399557525
New Rockwell Associates,Upper Portion,PKR1.5 Crore,"Gulistan-e-Jauhar, Karachi, Sindh",225 Sq. Yd.,For Sale,Karachi,+92 3251876379
Aeon & Trisl,Upper Portion,PKR2.3 Crore,"Jamshed Town, Karachi, Sindh",162 Sq. Yd.,For Sale,Karachi,+92 3299056310
Aeon & Trisl,Upper Portion,PKR1.9 Crore,"North Karachi, Karachi, Sindh",240 Sq. Yd.,For Sale,Karachi,+92 3243718324
Aseel Corporation,Upper Portion,PKR1.4 Crore,"Jamshed Town, Karachi, Sindh",105 Sq. Yd.,For Sale,Karachi,+92 3330021502
Aeon & Trisl,Upper Portion,PKR1.9 Crore,"North Karachi, Karachi, Sindh",240 Sq. Yd.,For Sale,Karachi,+92 3109671608
Al-Hadi Real Estate & Builders,Upper Portion,PKR1.85 Crore,"Jamshed Town, Karachi, Sindh",120 Sq. Yd.,For Sale,Karachi,+92 3277854482
Salman Real Estate,Upper Portion,PKR40 Lakh,"Federal B Area, Karachi, Sindh",78 Sq. Yd.,For Sale,Karachi,+92 3080998970
Aseel Corporation,Upper Portion,PKR2.5 Crore,"Shahra-e-Faisal, Karachi, Sindh",200 Sq. Yd.,For Sale,Karachi,+92 3251243666
Shamsi Corporation,Upper Portion,PKR1.4 Crore,"North Nazimabad, Karachi, Sindh",150 Sq. Yd.,For Sale,Karachi,+92 3102133574
Shamsi Corporation,Upper Portion,PKR1.05 Crore,"North Nazimabad, Karachi, Sindh",117 Sq. Yd.,For Sale,Karachi,+92 3439860470
Shamsi Corporation,Upper Portion,PKR1.05 Crore,"North Nazimabad, Karachi, Sindh",117 Sq. Yd.,For Sale,Karachi,+92 3189652424
Shamsi Corporation,Upper Portion,PKR1.35 Crore,"North Nazimabad, Karachi, Sindh",150 Sq. Yd.,For Sale,Karachi,+92 3150920458
Shamsi Corporation,Upper Portion,PKR1.45 Crore,"North Nazimabad, Karachi, Sindh",170 Sq. Yd.,For Sale,Karachi,+92 3366175880
Al Hadi Real Estate,Upper Portion,PKR1.5 Crore,"Gulshan-e-Iqbal Town, Karachi, Sindh",300 Sq. Yd.,For Sale,Karachi,+92 3392756454
Al Hadi Real Estate,Upper Portion,PKR1.85 Crore,"Jamshed Town, Karachi, Sindh",120 Sq. Yd.,For Sale,Karachi,+92 3066034981
Shaikh Associates,Upper Portion,PKR1.25 Crore,"North Nazimabad, Karachi, Sindh",160 Sq. Yd.,For Sale,Karachi,+92 3135056243
Gulistan Estate,Upper Portion,PKR1.3 Crore,"Federal B Area, Karachi, Sindh",120 Sq. Yd.,For Sale,Karachi,+92 3386550910
